seed,support_ratio,model,feature_rank,feature_index,feature_name,class_label,pattern_support_count,importance,coefficient,graph
0,0.1,LinearSVM,1,0,pattern_0_class0_supp50,0,50,0.35509496372116706,-0.35509496372116706,"{""vertices"": [{""id"": 0, ""label"": 0}], ""edges"": []}"
0,0.1,LinearSVM,2,400,pattern_400_class1_supp100,1,100,0.35509496372116706,-0.35509496372116706,"{""vertices"": [{""id"": 0, ""label"": 0}], ""edges"": []}"
0,0.1,LinearSVM,3,239,pattern_239_class0_supp9,0,9,0.33072662452409207,0.33072662452409207,"{""vertices"": [{""id"": 0, ""label"": 0}, {""id"": 1, ""label"": 0}, {""id"": 2, ""label"": 0}], ""edges"": [[0, 1, 1], [1, 2, 2]]}"
0,0.1,LinearSVM,4,1,pattern_1_class0_supp50,0,50,0.3223988295340618,0.3223988295340618,"{""vertices"": [{""id"": 0, ""label"": 1}], ""edges"": []}"
0,0.1,LinearSVM,5,401,pattern_401_class1_supp100,1,100,0.3223988295340618,0.3223988295340618,"{""vertices"": [{""id"": 0, ""label"": 1}], ""edges"": []}"
0,0.1,LinearSVM,6,238,pattern_238_class0_supp9,0,9,0.27668786714137095,0.27668786714137095,"{""vertices"": [{""id"": 0, ""label"": 0}, {""id"": 1, ""label"": 0}], ""edges"": [[0, 1, 2]]}"
0,0.1,LinearSVM,7,305,pattern_305_class0_supp8,0,8,0.2730376855752808,-0.2730376855752808,"{""vertices"": [{""id"": 0, ""label"": 0}, {""id"": 1, ""label"": 0}, {""id"": 2, ""label"": 0}, {""id"": 3, ""label"": 0}, {""id"": 4, ""label"": 0}], ""edges"": [[0, 1, 1], [1, 2, 1], [2, 3, 2], [3, 4, 1]]}"
0,0.1,LinearSVM,8,101,pattern_101_class0_supp11,0,11,0.2519398962017983,0.2519398962017983,"{""vertices"": [{""id"": 0, ""label"": 0}, {""id"": 1, ""label"": 0}, {""id"": 2, ""label"": 0}], ""edges"": [[0, 1, 1], [1, 2, 1]]}"
0,0.1,LinearSVM,9,309,pattern_309_class0_supp7,0,7,0.16814694873629607,-0.16814694873629607,"{""vertices"": [{""id"": 0, ""label"": 0}, {""id"": 1, ""label"": 0}, {""id"": 2, ""label"": 0}, {""id"": 3, ""label"": 0}, {""id"": 4, ""label"": 0}, {""id"": 5, ""label"": 0}, {""id"": 6, ""label"": 1}, {""id"": 7, ""label"": 1}], ""edges"": [[0, 1, 0], [0, 5, 0], [1, 2, 0], [2, 3, 0], [2, 7, 1], [3, 4, 0], [4, 5, 0], [5, 6, 1]]}"
0,0.1,LinearSVM,10,303,pattern_303_class0_supp8,0,8,0.14844952798221586,0.14844952798221586,"{""vertices"": [{""id"": 0, ""label"": 0}, {""id"": 1, ""label"": 0}, {""id"": 2, ""label"": 0}, {""id"": 3, ""label"": 0}], ""edges"": [[0, 1, 1], [1, 2, 2], [2, 3, 1]]}"
0,0.1,LinearSVM,11,2,pattern_2_class0_supp50,0,50,0.13268522151123813,0.13268522151123813,"{""vertices"": [{""id"": 0, ""label"": 2}], ""edges"": []}"
0,0.1,LinearSVM,12,402,pattern_402_class1_supp100,1,100,0.13268522151123813,0.13268522151123813,"{""vertices"": [{""id"": 0, ""label"": 2}], ""edges"": []}"
0,0.1,LinearSVM,13,3,pattern_3_class0_supp50,0,50,0.12306366360174503,-0.12306366360174503,"{""vertices"": [{""id"": 0, ""label"": 0}, {""id"": 1, ""label"": 1}], ""edges"": [[0, 1, 1]]}"
0,0.1,LinearSVM,14,403,pattern_403_class1_supp100,1,100,0.12306366360174503,-0.12306366360174503,"{""vertices"": [{""id"": 0, ""label"": 0}, {""id"": 1, ""label"": 1}], ""edges"": [[0, 1, 1]]}"
0,0.1,LinearSVM,15,10,pattern_10_class0_supp43,0,43,0.111212492928025,0.111212492928025,"{""vertices"": [{""id"": 0, ""label"": 0}, {""id"": 1, ""label"": 0}], ""edges"": [[0, 1, 0]]}"
